"Id
===
Id
===
int-c","名称
===
Name
===
string-c","描述
===
Desc
===
string-c","场景资源名称（Unity）
===
SceneResName
===
string-c","配置信息名称
===
ConfigName
===
string-c","背景音效
===
BGSoundID
===
int-c","boss战背景音效
===
BossSoundID
===
int-c","长度（X）
===
Length
===
float-c","宽度（Z）
===
Width
===
float-c","摄像机X轴最小坐标
===
CamareXMin
===
float-c","摄像机X轴最大坐标
===
CamareXMax
===
float-c","摄像机Z轴最小坐标
===
CamareZMin
===
float-c","摄像机Z轴最大坐标
===
CamareZMax
===
float-c","摄像机出生点X
===
CamareBornX
===
float-c","摄像机出生点Z
===
CamareBornZ
===
float-c","角色出生点X
===
PlayerBornX
===
float-c","角色出生点Y
===
PlayerBornY
===
float-c","角色出生点Z
===
PlayerBornZ
===
float-c","角色出生角度Y
===
PlayerBornRotY
===
float-c","角色初始AI
===
FightAI
===
string-c","副本持续时间（秒）
===
LastSecond
===
int-c","战斗评级对应分数0
===
ScoreLevel0
===
int-c","战斗评级对应分数1
===
ScoreLevel1
===
int-c","战斗评级对应分数2
===
ScoreLevel2
===
int-c","战斗评级对应分数3
===
ScoreLevel3
===
int-c","战斗评级对应分数4
===
ScoreLevel4
===
int-c","战斗评级对应分数5
===
ScoreLevel5
===
int-c"
#测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,
#1,测试1,-1,CeShi_BFB05,test02,4,14,50,50,-999,999,-999,999,24,24,24,-1,24,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#2,测试2,-1,CeShi_BFB05,test02,4,14,50,50,-999,999,-999,999,37,27,37,8,27,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#3,探索,,Stage_01_02,tansuo,16,18,40,75,-999,999,-999,999,20,44,20,3,44,45,AIPlayerNormalSkill,60,0,1575,3150,7350,8400,9450
#4,朝歌城外,商朝都城朝歌的城外。,CeShi_BFB07,zhaogechengwai,15,17,50,50,-999,999,-999,999,30,8.5,30,2,8.5,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#5,朝歌城外2,全新商朝都城朝歌的城外。,Stage_01_01,zhaogechengwai2,16,18,60,60,-999,999,-999,999,29.6,11,29.6,2,11,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#6,朝歌城外精英版,很难打的~~,Stage_01_01,zhaogechengwai3,16,18,60,60,-999,999,-999,999,29.6,11,29.6,2,11,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#7,龙德殿,纣王的宫殿,Stage_01_02,longdedian1,16,18,40,75,-999,999,-999,999,20,7.5,20,0.4,7.5,45,AIPlayerNormalSkill,300,0,3150,6300,14700,16800,18900
#8,沙漠09,,Stage_ShaMo_09,shamo09,15,17,57,57,-999,999,-999,999,46.8,5,46.8,0,5,45,AIPlayerNormalSkill,300,0,945,1890,4410,5040,5670
#9,沙漠02,,Stage_ShaMo_02,shamo02,15,17,40,70,-999,999,-999,999,32,7,32,0,7,45,AIPlayerNormalSkill,300,0,3150,6300,14700,16800,18900
#10,沙漠04,,Stage_ShaMo_04,shamo04,15,17,70,70,-999,999,-999,999,35,35,35,0,35,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
