"Id
===
Id
===
int-c","说明
===
Desc
===
string-c","关卡Id
===
StageId
===
int-c","怪物Id
===
MonsterId
===
int-c","怪物数量
===
MonsterCount
===
int-c","物品ID0
===
ItemID0
===
int-c","物品ID1
===
ItemID1
===
int-c","物品ID2
===
ItemID2
===
int-c","物品ID3
===
ItemID3
===
int-c","物品ID4
===
ItemID4
===
int-c","物品ID5
===
ItemID5
===
int-c","物品ID6
===
ItemID6
===
int-c","物品ID7
===
ItemID7
===
int-c","物品ID8
===
ItemID8
===
int-c","物品ID9
===
ItemID9
===
int-c","物品ID10
===
ItemID10
===
int-c","物品ID11
===
ItemID11
===
int-c","物品ID12
===
ItemID12
===
int-c","物品ID13
===
ItemID13
===
int-c","物品ID14
===
ItemID14
===
int-c","金币比重
===
MoneyProportion
===
float-c","钻石比重
===
DiamondProportion
===
float-c"
#新手章.1,,,,,,,,,,,,,,,,,,,,,
2001,刀兵,101,2001,13,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2002,刀兵队长,101,2002,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,锤兵,101,2003,13,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,锤兵队长,101,2004,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#新手章.2,,,,,,,,,,,,,,,,,,,,,
2011,锤兵,102,2011,9,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,锤兵队长,102,2012,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2013,女杀手,102,2013,15,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2014,女杀手头领,102,2014,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2015,妲己（boss）,102,2015,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016,纣王（boss）,102,2016,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2017,哪吒(友),102,2017,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2018,姜子牙(友),102,2018,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章.1,,,,,,,,,,,,,,,,,,,,,
2021,刀兵,111,2021,13,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2022,刀兵队长,111,2022,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023,锤兵,111,2023,13,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2024,锤兵队长,111,2024,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章.2,,,,,,,,,,,,,,,,,,,,,
2031,锤兵,112,2031,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2032,锤兵队长,112,2031,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2033,女杀手,112,2031,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034,女杀手头领,112,2031,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章.3,,,,,,,,,,,,,,,,,,,,,
2041,申公豹（boss）,113,2041,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2042,拳师,113,2042,7,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2043,拳师教头,113,2043,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2044,女杀手,113,2044,9,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2045,女杀手头领,113,2045,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章.4,,,,,,,,,,,,,,,,,,,,,
2051,姜子牙(友),114,2051,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2052,刀兵,114,2052,20,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2053,刀兵队长,114,2053,30,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2054,锤兵,114,2054,26,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2055,锤兵队长,114,2055,3,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2056,剑兵,114,2056,26,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2057,剑兵队长,114,2057,16,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2058,女杀手,114,2058,30,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2059,女杀手头领,114,2059,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章.5,,,,,,,,,,,,,,,,,,,,,
2061,男道士,115,2061,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2062,男道士头领,115,2062,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2063,剑兵,115,2063,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2064,剑兵队长,115,2064,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章.6,,,,,,,,,,,,,,,,,,,,,
2071,闻仲（boss）,116,2071,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2072,剑兵,116,2072,8,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2073,剑兵队长,116,2073,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
