"Id
===
Id
===
int-c","名称
===
Name
===
string-c","技能ID0
===
SkillID0
===
int-c","技能ID1
===
SkillID1
===
int-c","技能ID2
===
SkillID2
===
int-c","技能ID3
===
SkillID3
===
int-c","技能ID4
===
SkillID4
===
int-c","技能ID5
===
SkillID5
===
int-c","技能ID6
===
SkillID6
===
int-c","技能ID7
===
SkillID7
===
int-c","技能ID8
===
SkillID8
===
int-c","技能ID9
===
SkillID9
===
int-c","技能ID10
===
SkillID10
===
int-c","技能ID11
===
SkillID11
===
int-c","技能ID12
===
SkillID12
===
int-c","技能ID13
===
SkillID13
===
int-c","技能ID14
===
SkillID14
===
int-c","技能ID15
===
SkillID15
===
int-c","技能ID16
===
SkillID16
===
int-c","技能ID17
===
SkillID17
===
int-c","技能ID18
===
SkillID18
===
int-c","技能ID19
===
SkillID19
===
int-c"
#,,,,,,,,,,,,,,,,,,,,,
#主角,,,,,,,,,,,,,,,,,,,,,
0,主角斧子AI释放顺序,0,0,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,主角剑AI释放顺序,0,0,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,预留,0,0,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,预留,0,0,0,0,1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,斧子技能顺序,11000,11100,11200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,剑技能顺序,13000,13100,13200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,预留,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,预留,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#武将,,,,,,,,,,,,,,,,,,,,,
1010000,申公豹,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010001,申公豹,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010002,申公豹,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010003,申公豹,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010004,申公豹,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010100,纣王,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010101,纣王,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010102,纣王,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010103,纣王,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010104,纣王,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010200,姜子牙,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010201,姜子牙,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010202,姜子牙,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010203,姜子牙,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010204,姜子牙,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010300,杨戬,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010301,杨戬,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010302,杨戬,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010303,杨戬,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010304,杨戬,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010400,雷震子,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010401,雷震子,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010402,雷震子,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010403,雷震子,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010404,雷震子,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010500,白起,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010501,白起,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010502,白起,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010503,白起,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010504,白起,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010600,哪吒,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010601,哪吒,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010602,哪吒,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010603,哪吒,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010604,哪吒,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010700,典韦,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010701,典韦,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010702,典韦,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010703,典韦,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010704,典韦,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010800,闻仲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010801,闻仲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010802,闻仲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010803,闻仲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010804,闻仲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010900,鲁班,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010901,鲁班,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010902,鲁班,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010903,鲁班,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010904,鲁班,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011000,狄仁杰,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011001,狄仁杰,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
