"Id
===
Id
===
int-c","名字
===
Name
===
string-c","描述
===
Desc
===
string-c","图像512
===
Icon512
===
string-c","图像256
===
Icon256
===
string-c","图像128
===
Icon128
===
string-c","图像64
===
Icon64
===
string-c","图像32
===
Icon32
===
string-c","模型主题文件
===
ModelBodyFile
===
string-c","模型网格文件
===
ModelMeshFile
===
string-c","材质文件0
===
MaterialFiles0
===
string-c","材质文件1
===
MaterialFiles1
===
string-c","材质文件2
===
MaterialFiles2
===
string-c","特效0.特效挂载点
===
Effects0.Point
===
string-c","特效0.特效文件
===
Effects0.File
===
string-c","特效1.特效挂载点
===
Effects1.Point
===
string-c","特效1.特效文件
===
Effects1.File
===
string-c","特效2.特效挂载点
===
Effects2.Point
===
string-c","特效2.特效文件
===
Effects2.File
===
string-c","缩放百分比
===
ScalePercent
===
float-c","模型长度
===
Lenght
===
float-c","模型宽度
===
Width
===
float-c","模型高度
===
Hight
===
float-c","动作ID
===
ActionId
===
int-c","移动半径
===
NavRange
===
float-c","碰撞半径
===
ColliderRange
===
float-c","碰撞高度
===
ColliderHight
===
float-c","被击音效0
===
BeHitSound0
===
int-c","被击音效1
===
BeHitSound1
===
int-c","被击音效2
===
BeHitSound2
===
int-c","被击音效3
===
BeHitSound3
===
int-c","行走音效
===
MoveSound
===
int-c"
#,,,,,,,,,,,,,FixP1,,,,,,1,1,1,1,1,0.5,0.5,2,-1,-1,-1,-1,-1
0,主角男02,测试,hero_shuangshoufu,hero_shuangshoufu,Head_Hero_shuangshoufu,Head_Hero_shuangshoufu,Head_Hero_shuangshoufu,Char_Boy_01_JL_AM,,jl_01,,,FixP1,,,,,,1.2,1,1,1,5,0.5,0.5,2,-1,-1,-1,-1,50301
1,主角女01,测试,hero_danshoujian,hero_danshoujian,Head_Hero_danshoujian,Head_Hero_danshoujian,Head_Hero_danshoujian,Char_Girl_01_AM,,jl_nv01,,,FixP1,,,,,,1.3,1,1,1,4,0.5,0.5,2,-1,-1,-1,-1,50301
6,斧子,测试,144,144,144,144,144,Weapon_HW_02_SM,,Weapon_HW_02,,,FixP1,,,,,,1,1,1,1,-1,0.5,0.5,2,-1,-1,-1,-1,-1
7,女单手剑,测试,144,144,144,144,144,Weapon_S_01_SM,,Weapon_S_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,0.5,2,-1,-1,-1,-1,-1
8,衣服,测试,144,144,144,144,144,,,,,,FixP1,,,,,,1,1,1,1,-1,0.5,0.5,2,-1,-1,-1,-1,-1
9,戒指,测试,144,144,144,144,144,,,,,,FixP1,,,,,,1,1,1,1,-1,0.5,0.5,2,-1,-1,-1,-1,-1
10,项链,测试,144,144,144,144,144,,,,,,FixP1,,,,,,1,1,1,1,-1,0.5,0.5,2,-1,-1,-1,-1,-1
11,宝珠,测试,144,144,144,144,144,,,,,,FixP1,,,,,,1,1,1,1,-1,0.5,0.5,2,-1,-1,-1,-1,-1
12,宠物,测试,TX-boss-AoRun,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,TX-boss-AoRun,Char_Boy_01_AM,,char_boy_01,,,FixP1,,,,,,1,1,1,1,5,0.5,0.5,2,-1,-1,-1,-1,-1
#临时精英怪，测试场景,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,
98,护卫队长,护卫队长,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_HuWeiDuiZhang_01_AM,,mon_huweiduizhang_01,,,,,,,,,1,1.2,1.2,1.2,6,0.5,0.5,2,-1,-1,-1,-1,-1
99,宝箱,宝箱,gold,gold,gold,gold,gold,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,,,,,,,2,2,2,2,-1,0,2,2,-1,-1,-1,-1,-1
#男性BOSS将领,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,
100,申公豹,申公豹,hero_p_shengongbao,hero_shengongbao,Head_Hero_shengongbao,Head_Hero_shengongbao,Head_Hero_shengongbao,Hero_ShenGongBao_01_AM,,hero_shengongbao_01,,,FixP1,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
101,纣王,纣王,hero_p_zhouwang,hero_zhouwang,Head_Hero_zhouwang,Head_Hero_zhouwang,Head_Hero_zhouwang,Hero_ZhouWang_01_AM,,hero_zhouwang_01,,,FixP1,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
102,姜子牙,姜子牙,hero_p_jiangziya,hero_jiangziya,Head_Hero_jiangziya,Head_Hero_jiangziya,Head_Hero_jiangziya,Hero_JiangZiYa_01_AM,,hero_jiangziya_01,,,FixP1,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
103,杨戬,杨戬,hero_p_yangjian,hero_yangjian,Head_Hero_yangjian,Head_Hero_yangjian,Head_Hero_yangjian,Hero_YangJian_01_AM,,hero_yangjian_01,,,FixP1,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
104,雷震子,雷震子,hero_p_leizhenzi,hero_leizhenzi,Head_Hero_leizhenzi,Head_Hero_leizhenzi,Head_Hero_leizhenzi,Hero_LeiZhenZi_01_AM,,hero_leizhenzi_01,,,FixP1,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
