"Id
===
Id
===
int-c","方案名称
===
Name
===
string-c","方案描述
===
Desc
===
string-c","子弹发射点
===
StartPoint
===
string-c","发射点X轴偏移量
===
StartPointX
===
float-c","发射点Y轴偏移量
===
StartPointY
===
float-c","发射点Z轴偏移量
===
StartPointZ
===
float-c","子弹ID
===
BulletID
===
int-c","子弹总数量
===
SendNum
===
int-c","发射间隔
===
SendInterval
===
float-c","每次间隔发射数量
===
SendNumPerInterval
===
int-c","发射位置方向修正脚本
===
ModifyScript
===
string-c","脚本参数0
===
ModifyParamValues0
===
string-c","脚本参数1
===
ModifyParamValues1
===
string-c","脚本参数2
===
ModifyParamValues2
===
string-c","脚本参数3
===
ModifyParamValues3
===
string-c","脚本参数4
===
ModifyParamValues4
===
string-c","脚本参数5
===
ModifyParamValues5
===
string-c"
#,,,,,,,,,,,,-1,-1,-1,-1,-1,-1
1,武将技,-1,self,0,0,0,1,1,0,0,BulletEmitScript_ModelSkill,-1,-1,-1,-1,-1,-1
#飞行子弹,,,,,,,,,,,,,,,,,
2,火球,-1,self,0,2,0,2,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
3,冰球,-1,self,0,0,0,3,1,0,0,-1,-1,-1,-1,-1,-1,-1
4,风刃,-1,self,0,0,0,4,1,0,0,-1,-1,-1,-1,-1,-1,-1
5,闪电,-1,self,0,0,0,5,1,0,0,-1,-1,-1,-1,-1,-1,-1
6,凤凰,-1,self,0,0,0,6,1,0,0,-1,-1,-1,-1,-1,-1,-1
7,爆炸火柱,-1,self,0,0,0,7,1,0,0,-1,-1,-1,-1,-1,-1,-1
8,武则天火刃,-1,self,0,0,0,8,1,0,0,-1,-1,-1,-1,-1,-1,-1
9,弓箭手火箭,-1,self,0,0,0,9,1,0,0,-1,-1,-1,-1,-1,-1,-1
10,曹操地波1,-1,self,0,0,0,10,1,0,0,-1,-1,-1,-1,-1,-1,-1
11,曹操地波2,-1,self,0,0,0,11,1,0,0,-1,-1,-1,-1,-1,-1,-1
12,曹操技能纵波,-1,self,0,0,0,12,1,0,0,-1,-1,-1,-1,-1,-1,-1
13,火球,-1,self,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,-1
14,箭塔,-1,self,0,2,0,14,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
15,炮烙,-1,self,0,0,0,15,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
16,火球,-1,self,2,0,2,16,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
17,男道士火雨,-1,self,4,0,0,17,1,0,0,-1,-1,-1,-1,-1,-1,-1
#定点子弹,,,,,,,,,,,,,,,,,
200,剑雨,-1,self,5,0,0,200,1,0,0,-1,-1,-1,-1,-1,-1,-1
201,武则天陨石雨,-1,self,4,0,0,201,1,0,0,-1,-1,-1,-1,-1,-1,-1
202,曹操旋风,-1,self,3,0,0,202,1,0,0,-1,-1,-1,-1,-1,-1,-1
203,曹操-风沙掠影Lv1,-1,self,5,0,0,203,3,0.4,1,BulletEmitScript_SelfRandom,2,2.5,-1,-1,-1,-1
204,曹操-风沙掠影Lv2,-1,self,5,0,0,204,3,0.4,1,BulletEmitScript_SelfRandom,2,2.5,-1,-1,-1,-1
205,曹操-风沙掠影Lv3,-1,self,5,0,0,205,3,0.4,1,BulletEmitScript_SelfRandom,2,2.5,-1,-1,-1,-1
206,曹操-风沙掠影Lv4,-1,self,5,0,0,206,4,0.4,1,BulletEmitScript_SelfRandom,2,2.5,-1,-1,-1,-1
207,曹操-风沙掠影Lv5,-1,self,5,0,0,207,4,0.4,1,BulletEmitScript_SelfRandom,2,2.5,-1,-1,-1,-1
208,妲己-媚狐踪影Lv1,-1,self,-4,0,-4,208,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
209,妲己-媚狐踪影Lv2,-1,self,-4,0,-4,209,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
210,妲己-媚狐踪影Lv3,-1,self,-4,0,-4,210,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
211,妲己-媚狐踪影Lv4,-1,self,-4,0,-4,211,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
212,妲己-媚狐踪影Lv5,-1,self,-4,0,-4,212,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
213,妲己-媚狐踪影Lv1,-1,self,-4,0,4,213,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
214,妲己-媚狐踪影Lv2,-1,self,-4,0,4,214,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
215,妲己-媚狐踪影Lv3,-1,self,-4,0,4,215,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
216,妲己-媚狐踪影Lv4,-1,self,-4,0,4,216,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
217,妲己-媚狐踪影Lv5,-1,self,-4,0,4,217,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
218,妲己-媚狐踪影Lv1,-1,self,4,0,-4,218,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
