"Id
===
Id
===
int-c","方案名称
===
Name
===
string-c","方案描述
===
Desc
===
string-c","子弹ShowID
===
BulletShowID
===
int-c","子弹生存时间
===
AliveTime
===
float-c","AI脚本
===
AIScript
===
string-c","目标类型
===
TargetClass
===
int-c","脚本参数0
===
ParamValues0
===
string-c","脚本参数1
===
ParamValues1
===
string-c","脚本参数2
===
ParamValues2
===
string-c","脚本参数3
===
ParamValues3
===
string-c","脚本参数4
===
ParamValues4
===
string-c","脚本参数5
===
ParamValues5
===
string-c","脚本参数6
===
ParamValues6
===
string-c","脚本参数7
===
ParamValues7
===
string-c","脚本参数8
===
ParamValues8
===
string-c","脚本参数9
===
ParamValues9
===
string-c","脚本参数10
===
ParamValues10
===
string-c","脚本参数11
===
ParamValues11
===
string-c","脚本参数12
===
ParamValues12
===
string-c","脚本参数13
===
ParamValues13
===
string-c"
#,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,武将技,-1,-1,-1,SkillBulletScript_ModelSkill,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#飞行子弹,,,,,,1,,,,,,,,,,,,,,
2,火球,-1,50007,4,SkillBulletScript_MoveHitOnce,1,10,101,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,冰球,-1,50008,4,SkillBulletScript_MoveHitOnce,1,8,101,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,风刃,-1,50003,4,SkillBulletScript_MoveHitOnce,1,12,101,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,落雷,-1,50004,4,SkillBulletScript_Move,1,10,101,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,凤凰,-1,50013,4,SkillBulletScript_Move,1,10,1061,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,爆炸火柱,-1,50003,4,SkillBulletScript_Move,1,10,101,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,武则天火刃,-1,50008,4,SkillBulletScript_MoveHitOnce,1,10,1061,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,弓箭手火箭,-1,50014,4,SkillBulletScript_MoveHitOnce,1,10,101,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,曹操地波1,-1,50016,4,SkillBulletScript_Move,1,10,101,43000000,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
11,曹操地波2,-1,50017,4,SkillBulletScript_Move,1,10,101,43000000,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
12,曹操技能纵波,-1,50011,4,SkillBulletScript_Move,1,10,101,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,箭塔,-1,50007,4,SkillBulletScript_MoveHitOnce,1,4,101,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,炮烙,-1,50014,4,SkillBulletScript_Move,1,10,104,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,火球(闻仲),-1,50007,4,SkillBulletScript_MoveHitOnce,1,10,38000000,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,男道士火雨,-1,50034,3,SkillBulletScript_HitInterval,1,4,506,13,-1,-1,0.3,3,0.5,1,-1,-1,-1,-1,-1
#定点子弹,,,,,,1,,,,,,,,,,,,,,
200,剑雨,-1,50036,5,SkillBulletScript_HitInterval,1,12,-1,-1,-1,-1,0.1,10,-1,-1,-1,-1,-1,-1,-1
