"Id
===
Id
===
int-c","特效方案名称
===
Name
===
string-c","特效方案描述
===
Desc
===
string-c","特效名称
===
EffectName
===
string-c","特效出生点名称
===
PointName
===
string-c","特效是否绑定
===
IsBand
===
bool-c","特效持续（剪辑播放比率）
===
LastFrame
===
float-c","特效持续时间（秒）
===
LastTime
===
float-c","特效持续（与招式同步）
===
LastAsAnimation
===
bool-c","重播间隔（持续时间内）
===
ReplayInterval
===
float-c","播放速度
===
Speed
===
float-c","播放速度是否受攻击速度影响
===
SpeedAsAnimation
===
bool-c","播放速度是否会暂停
===
StopAsAnimation
===
bool-c"
#,,,,,,,,,,,,
#女主角-单手剑,,,,,,,,,,,,
#普攻,,,,,,,,,,,,
1,单手剑1,FixP1,effect_char_girl_02_attack_01_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
2,单手剑2,FixP1,effect_char_girl_02_attack_02_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
3,单手剑3,FixP1,effect_char_girl_02_attack_03_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
4,单手剑4,FixP1,effect_char_girl_02_attack_04_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
5,单手剑5,FixP1,effect_char_girl_02_attack_05_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
#技能攻击,,,,,,,,,,,,
101,集气攻击,FixP1,effect_char_girl_02_skill_01_a_fixp1,FixP1,1,-1,5,1,-1,1,1,1
102,连斩攻击起手,sole,effect_char_girl_02_skill_03_start_a_sole,sole,1,1,5,1,-1,1,1,1
103,连斩攻击结束,sole,effect_char_girl_02_skill_03_end_a_sole,sole,1,-1,5,1,-1,1,1,1
104,空旋斩,sole,effect_char_girl_02_skill_04_a_sole,sole,1,-1,5,1,-1,1,1,1
#Buff类法术攻击,,,,,,,,,,,,
501,Buff,sole,effect_char_girl_02_skill_02_a_sole,sole,1,-1,5,-1,-1,1,1,1
502,剑雨,FixP2,effect_char_girl_02_skill_07_a_fixp2,FixP2,1,-1,5,-1,-1,1,1,1
#无双技,,,,,,,,,,,,
802,女主角无双技,FixP2,effect_char_girl_02_super_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#特殊系统动作,,,,,,,,,,,,
902,剑防御反击起手,FixP2,effect_char_girl_02_skill_05_start_a,FixP2,1,-1,5,-1,-1,1,1,1
903,剑防御反击成功,FixP2,effect_char_girl_02_skill_05_hit_a,FixP2,1,-1,5,-1,-1,1,1,1
904,剑防御反击攻击,FixP2,effect_char_girl_02_skill_05_end_a,FixP2,1,-1,5,-1,-1,1,1,1
905,冲刺,sole,Effect_Char_Gril_02_Skill_05_Start_A_sole,sole,1,-1,1,1,-1,1,1,1
906,冲刺攻击,FixP1,Effect_Char_Girl_02_Skill_05_End_A_FixP1,FixP1,1,-1,5,1,-1,1,1,1
#男主角-双手斧,,,,,,,,,,,,
#普攻,,,,,,,,,,,,
5001,斧头1,sole,effect_char_boy_02_attack_01_a_sole,sole,1,-1,5,1,-1,1,1,1
5002,斧头2,sole,effect_char_boy_02_attack_02_a_sole,sole,1,-1,5,1,-1,1,1,1
5003,斧头3,sole,effect_char_boy_02_attack_03_a_sole,sole,1,-1,5,1,-1,1,1,1
5004,斧头4,sole,effect_char_boy_02_attack_04_a_sole,sole,1,-1,5,1,-1,1,1,1
