"Id
===
Id
===
int-c","名称
===
Name
===
string-c","描述
===
Desc
===
string-c","图标ShowID
===
ShowID
===
int-c","分类
===
LogicClass
===
int-c","效果ID0
===
Impacts0
===
int-c","效果ID1
===
Impacts1
===
int-c","效果ID2
===
Impacts2
===
int-c","效果ID3
===
Impacts3
===
int-c","效果ID4
===
Impacts4
===
int-c","效果ID5
===
Impacts5
===
int-c","自身状态
===
StateSelf
===
int-c","目标状态
===
StateTarget
===
int-c","效果ID0
===
StateImpacts0
===
int-c","效果ID1
===
StateImpacts1
===
int-c","效果ID2
===
StateImpacts2
===
int-c","效果ID3
===
StateImpacts3
===
int-c","效果ID4
===
StateImpacts4
===
int-c","效果ID5
===
StateImpacts5
===
int-c"
#,,,,,,,,,,,,,,,,,,
1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,霸体,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,无敌,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,高伤害,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,无双伤害,测试提高无双伤害,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,测试事件buff,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,测试霸体buff,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,男道士火雨,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#关卡配置,,,,,,,,,,,,,,,,,,
100,地刺攻击,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,箭塔攻击,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,炮烙2,-1,-1,-1,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1000,落地_落雷,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1001,落地_冰刺,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
