"Id
===
Id
===
int-c","УћГЦ
===
Name
===
string-c","УшЪі
===
Desc
===
string-c","БЛЛїЬиаЇ0
===
HitEffect0
===
int-c","БЛЛїЬиаЇ1
===
HitEffect1
===
int-c","БЛЛїЬиаЇ2
===
HitEffect2
===
int-c","гВжБЪБМф
===
StiffTime
===
float-c","ЛїЗЩЫйЖШ
===
SpeedV
===
float-c","ЛїЭЫЗНЯђ
===
DirectH
===
float-c","ЛїЭЫЫйЖШ
===
SpeedH
===
float-c","ЛїЭЫЪБМф
===
TimeH
===
float-c","ИЁПеЛїЭЫЫйЖШ
===
SpeedHSky
===
float-c"
#ЦеЭЈгВжБ,,,,,,,,,,,
1,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.1,-1,-1,-1,-1,-1
2,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.2,-1,-1,-1,-1,-1
3,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.3,-1,-1,-1,-1,-1
4,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.4,-1,-1,-1,-1,-1
5,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.5,-1,-1,-1,-1,-1
6,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.6,-1,-1,-1,-1,-1
7,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.7,-1,-1,-1,-1,-1
8,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.8,-1,-1,-1,-1,-1
9,гВжБ,БЛЛїгВжБ,70014,-1,-1,0.9,-1,-1,-1,-1,-1
10,гВжБ,БЛЛїгВжБ,70014,-1,-1,1,-1,-1,-1,-1,-1
#ЛїЭЫ,,,,,,,,,,,
101,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,5,0.05,-1
102,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,10,0.05,-1
103,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,15,0.05,-1
104,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,20,0.05,-1
105,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,25,0.05,-1
106,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,30,0.05,-1
107,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,35,0.05,-1
108,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,40,0.05,-1
109,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,45,0.05,-1
110,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,50,0.05,-1
111,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,55,0.05,-1
112,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,60,0.05,-1
113,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,65,0.05,-1
114,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,70,0.05,-1
115,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,75,0.05,-1
