"Id
===
Id
===
int-c","Ãû³Æ
===
Name
===
string-c","ÃèÊö
===
Desc
===
string-c","Í¼±ê
===
Icon
===
string-c","²»ÏÔÊ¾BUFF:-1;Buff:0;Debuff:1
===
BuffShowType
===
int-c","ÌØÐ§
===
Effect
===
int-c","ÓÑºÃ¶ÈÀàÐÍ
===
FriendType
===
int-c","»¥³âÀàÐÍ
===
Conflict
===
int-c","ÓÅÏÈ¼¶
===
Priority
===
int-c","·ÖÀà
===
LogicClass
===
int-c","³ÖÐøÊ±¼ä£¨Ãë£©
===
LastTime
===
float-c","Ð§¹û½Å±¾
===
ImpactScript
===
string-c","Ð§¹û²ÎÊý0
===
ParamValues0
===
string-c","Ð§¹û²ÎÊý1
===
ParamValues1
===
string-c","Ð§¹û²ÎÊý2
===
ParamValues2
===
string-c","Ð§¹û²ÎÊý3
===
ParamValues3
===
string-c","Ð§¹û²ÎÊý4
===
ParamValues4
===
string-c","Ð§¹û²ÎÊý5
===
ParamValues5
===
string-c","Ð§¹û²ÎÊý6
===
ParamValues6
===
string-c","Ð§¹û²ÎÊý7
===
ParamValues7
===
string-c","Ð§¹û²ÎÊý8
===
ParamValues8
===
string-c","Ð§¹û²ÎÊý9
===
ParamValues9
===
string-c"
#,,,,,-1,-1,-1,-1,-1,,,1,0,0,0,0,0,0,0,0,0
1,-1,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,0,0,0,0,0,0
2,-1,,,-1,-1,0,-1,-1,-1,1,SkillImpactScript_Interval,0.1,1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,,,-1,-1,0,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,,,-1,-1,0,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,,,-1,-1,0,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,°ÔÌåÐ§¹û,,,-1,-1,0,-1,-1,-1,10,SkillImpactScript_NoHitPhysic,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,ÎÞµÐÐ§¹û,,,-1,-1,0,-1,-1,-1,2.8,SkillImpactScript_NoTrigger,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,¸ßÉËº¦,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,2,2,0,0,-1,-1,-1,-1,-1,-1
9,ÎÞË«ÉËº¦,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,1,0,0,0,0,0,0,0
10,²âÊÔbuff,,,0,-1,0,-1,-1,-1,50,SkillImpactScript_DispatchEvent,4,-1,10002,-1,1002,-1,-1,-1,-1,-1
11,²âÊÔbuff,,,0,-1,0,-1,-1,-1,0,SkillImpactScript_ModifyHP,0,0,50,-1,-1,-1,-1,-1,-1,-1
12,°ÔÌåÐ§¹û£¨unlimity£©,,,-1,-1,0,-1,-1,1000,-1,SkillImpactScript_NoHitPhysic,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,-1,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,0,0,0,0,0,0
#¹Ø¿¨ÅäÖÃ,,,,,,,,,,,,,,,,,,,,,
100,µØ´Ì¹¥»÷,,,-1,-1,0,-1,-1,-1,1,SkillImpactScript_ModifyHP,0.1,0,0,-1,-1,-1,-1,-1,-1,-1
101,¼ýËþ,,,-1,-1,0,-1,-1,-1,1,SkillImpactScript_ModifyHP,-0.05,0,0,-1,-1,-1,-1,-1,-1,-1
102,ÅÚÀÓ2,,,-1,-1,0,-1,-1,-1,1,SkillImpactScript_Damage,0.5,0,1,-1,-1,-1,-1,-1,-1,-1
#Îä½«¼¼ÄÜ¼°BUFFÐ§¹û,,,,,,,,,,,,,,,,,,,,,
10000,°×Æð-¼áÈÍLv1,,,0,80026,0,10000,1,10000,36000,SkillImpactScript_ModifyValue,14,0.1,15,-1,-1,-1,-1,-1,-1,-1
10001,°×Æð-¼áÈÍLv2,,,0,80026,0,10000,2,10000,36000,SkillImpactScript_ModifyValue,14,0.1,45,-1,-1,-1,-1,-1,-1,-1
10002,°×Æð-¼áÈÍLv3,,,0,80026,0,10000,3,10000,36000,SkillImpactScript_ModifyValue,14,0.1,90,-1,-1,-1,-1,-1,-1,-1
10003,°×Æð-¼áÈÍLv4,,,0,80026,0,10000,4,10000,36000,SkillImpactScript_ModifyValue,14,0.1,145,-1,-1,-1,-1,-1,-1,-1
10004,°×Æð-¼áÈÍLv5,,,0,80026,0,10000,5,10000,36000,SkillImpactScript_ModifyValue,14,0.1,210,-1,-1,-1,-1,-1,-1,-1
10005,Ñ£ÔÎ1Ãë,,,1,80011,1,10005,1,10005,1,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10006,Ñ£ÔÎ2Ãë,,,1,80011,1,10005,2,10005,2,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10007,Ñ£ÔÎ3Ãë,,,1,80011,1,10005,3,10005,3,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10008,Ñ£ÔÎ4Ãë,,,1,80011,1,10005,4,10005,4,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10009,Ñ£ÔÎ5Ãë,,,1,80011,1,10005,5,10005,5,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10010,ÓÀ¾ÃÊ¯»¯,,,1,80011,1,10010,0,10010,36000,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10011,µäÎ¤-Ê¯»¯Ð§¹ûLv1£¨×÷·Ï£©,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_DispatchEvent,1,0.1,1,0,10002,-1,37400000,-1,-1,-1
10012,µäÎ¤-Ê¯»¯Ð§¹ûLv2£¨×÷·Ï£©,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_DispatchEvent,1,0.1,1,0,10002,-1,37401000,-1,-1,-1
10013,µäÎ¤-Ê¯»¯Ð§¹ûLv3£¨×÷·Ï£©,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_DispatchEvent,1,0.1,1,0,10002,-1,37402000,-1,-1,-1
10014,µäÎ¤-Ê¯»¯Ð§¹ûLv4£¨×÷·Ï£©,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_DispatchEvent,1,0.1,1,0,10002,-1,37403000,-1,-1,-1
10015,µäÎ¤-Ê¯»¯Ð§¹ûLv5£¨×÷·Ï£©,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_DispatchEvent,1,0.1,1,0,10002,-1,37404000,-1,-1,-1
10016,¼õËÙ1Ãë,,,1,80080,1,10016,1,10016,1,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10017,¼õËÙ2Ãë,,,1,80080,1,10016,2,10016,2,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10018,¼õËÙ3Ãë,,,1,80080,1,10016,3,10016,3,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10019,¼õËÙ4Ãë,,,1,80080,1,10016,4,10016,4,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10020,¼õËÙ5Ãë,,,1,80080,1,10016,5,10016,5,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10021,ÓÀ¾Ã¼õËÙ,,,1,80009,1,10021,0,10021,36000,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10022,5ÃëÁ÷Ñª0.5%,,,1,80016,1,10022,0,10022,5,SkillImpactScript_ModifyHP,-0.005,0,0,-1,-1,-1,-1,-1,-1,-1
10023,5ÃëÁ÷Ñª1%,,,1,80016,1,10022,1,10022,5,SkillImpactScript_ModifyHP,-0.01,0,0,-1,-1,-1,-1,-1,-1,-1
10024,5ÃëÁ÷Ñª1.5%,,,1,80016,1,10022,2,10022,5,SkillImpactScript_ModifyHP,-0.015,0,0,-1,-1,-1,-1,-1,-1,-1
10025,5ÃëÁ÷Ñª2%,,,1,80016,1,10022,3,10022,5,SkillImpactScript_ModifyHP,-0.02,0,0,-1,-1,-1,-1,-1,-1,-1
10026,5ÃëÁ÷Ñª2.5%,,,1,80016,1,10022,4,10022,5,SkillImpactScript_ModifyHP,-0.025,0,0,-1,-1,-1,-1,-1,-1,-1
10027,5ÃëÁ÷Ñª3%,,,1,80016,1,10022,5,10022,5,SkillImpactScript_ModifyHP,-0.03,0,0,-1,-1,-1,-1,-1,-1,-1
10028,5ÃëÁ÷Ñª3.5%,,,1,80016,1,10022,6,10022,5,SkillImpactScript_ModifyHP,-0.035,0,0,-1,-1,-1,-1,-1,-1,-1
10029,5ÃëÁ÷Ñª4%,,,1,80016,1,10022,7,10022,5,SkillImpactScript_ModifyHP,-0.04,0,0,-1,-1,-1,-1,-1,-1,-1
10030,5ÃëÁ÷Ñª4.5%,,,1,80016,1,10022,8,10022,5,SkillImpactScript_ModifyHP,-0.045,0,0,-1,-1,-1,-1,-1,-1,-1
10031,5ÃëÁ÷Ñª5%,,,1,80016,1,10022,9,10022,5,SkillImpactScript_ModifyHP,-0.05,0,0,-1,-1,-1,-1,-1,-1,-1
10032,5ÃëÁ÷Ñª8%,,,1,80016,1,10022,10,10022,5,SkillImpactScript_ModifyHP,-0.08,0,0,-1,-1,-1,-1,-1,-1,-1
10033,5ÃëÁ÷Ñª10%,,,1,80016,1,10022,11,10022,5,SkillImpactScript_ModifyHP,-0.1,0,0,-1,-1,-1,-1,-1,-1,-1
10034,¹¥»÷Á¦ÏÂ½µ30%,,,2,80017,1,10034,0,10034,5,SkillImpactScript_ModifyValue,0,-0.3,0,-1,-1,-1,-1,-1,-1,-1
10035,¹¥»÷Á¦ÏÂ½µ40%,,,3,80017,1,10034,1,10034,5,SkillImpactScript_ModifyValue,0,-0.4,0,-1,-1,-1,-1,-1,-1,-1
10036,¹¥»÷Á¦ÏÂ½µ50%,,,4,80017,1,10034,2,10034,5,SkillImpactScript_ModifyValue,0,-0.5,0,-1,-1,-1,-1,-1,-1,-1
10037,¹¥»÷Á¦ÏÂ½µ60%,,,5,80017,1,10034,3,10034,5,SkillImpactScript_ModifyValue,0,-0.6,0,-1,-1,-1,-1,-1,-1,-1
10038,¹¥»÷Á¦ÏÂ½µ70%,,,6,80017,1,10034,4,10034,5,SkillImpactScript_ModifyValue,0,-0.7,0,-1,-1,-1,-1,-1,-1,-1
10039,ÄÄßå-·ç»ð¹â»·Lv1,,,0,80078,0,10039,1,10039,36000,SkillImpactScript_Interval,1,40,-1,36400000,-1,-1,-1,-1,-1,-1
10040,ÄÄßå-·ç»ð¹â»·Lv2,,,0,80078,0,10039,2,10039,36000,SkillImpactScript_Interval,1,40,-1,36401000,-1,-1,-1,-1,-1,-1
10041,ÄÄßå-·ç»ð¹â»·Lv3,,,0,80078,0,10039,3,10039,36000,SkillImpactScript_Interval,1,40,-1,36402000,-1,-1,-1,-1,-1,-1
10042,ÄÄßå-·ç»ð¹â»·Lv4,,,0,80078,0,10039,4,10039,36000,SkillImpactScript_Interval,1,40,-1,36403000,-1,-1,-1,-1,-1,-1
10043,ÄÄßå-·ç»ð¹â»·Lv5,,,0,80078,0,10039,5,10039,36000,SkillImpactScript_Interval,1,40,-1,36404000,-1,-1,-1,-1,-1,-1
10044,ÎÞµÐ5Ãë,,,-1,-1,0,-1,-1,-1,5,SkillImpactScript_NoTrigger,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10045,ÎÞµÐ10Ãë,,,-1,-1,0,-1,-1,-1,10,SkillImpactScript_NoTrigger,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10046,ÎÞµÐ15Ãë,,,-1,-1,0,-1,-1,-1,15,SkillImpactScript_NoTrigger,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10047,ÎÞµÐ20Ãë,,,-1,-1,0,-1,-1,-1,20,SkillImpactScript_NoTrigger,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10048,ÎÞµÐ30Ãë,,,-1,-1,0,-1,-1,-1,30,SkillImpactScript_NoTrigger,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10049,ÎÅÖÙ-¸´»îÐ§¹û,,,0,80001,0,10049,1,10049,36000,SkillImpactScript_DispatchEvent,1,0.02,1,1,10002,-1,38400010,-1,-1,-1
10050,ÎÅÖÙ-¸´»îÐ§¹û,,,0,80001,0,10049,2,10049,36000,SkillImpactScript_DispatchEvent,1,0.03,1,1,10002,-1,38401010,-1,-1,-1
10051,ÎÅÖÙ-¸´»îÐ§¹û,,,0,80001,0,10049,3,10049,36000,SkillImpactScript_DispatchEvent,1,0.04,1,1,10002,-1,38402010,-1,-1,-1
10052,ÎÅÖÙ-¸´»îÐ§¹û,,,0,80001,0,10049,4,10049,36000,SkillImpactScript_DispatchEvent,1,0.05,1,1,10002,-1,38403010,-1,-1,-1
10053,ÎÅÖÙ-¸´»îÐ§¹û,,,0,80001,0,10049,5,10049,36000,SkillImpactScript_DispatchEvent,1,0.08,1,1,10002,-1,38404010,-1,-1,-1
10054,ÎÅÖÙ-Çå³ý¸´»îÐ§¹û,,,0,80001,0,10054,1,10054,36000,SkillImpactScript_DispelImpacts,10049,10050,10051,10052,10053,-1,-1,-1,-1,-1
10055,ÎÅÖÙ-Çå³ý¸´»îÐ§¹û,,,0,80001,0,10054,2,10054,36000,SkillImpactScript_DispelImpacts,10049,10050,10051,10052,10053,-1,-1,-1,-1,-1
10056,ÎÅÖÙ-Çå³ý¸´»îÐ§¹û,,,0,80001,0,10054,3,10054,36000,SkillImpactScript_DispelImpacts,10049,10050,10051,10052,10053,-1,-1,-1,-1,-1
10057,ÎÅÖÙ-Çå³ý¸´»îÐ§¹û,,,0,80001,0,10054,4,10054,36000,SkillImpactScript_DispelImpacts,10049,10050,10051,10052,10053,-1,-1,-1,-1,-1
10058,ÎÅÖÙ-Çå³ý¸´»îÐ§¹û,,,0,80001,0,10054,5,10054,36000,SkillImpactScript_DispelImpacts,10049,10050,10051,10052,10053,-1,-1,-1,-1,-1
10059,ÎäÔòÌì-ÉúÃü¹â»·,,,0,80086,0,10059,1,10059,36000,SkillImpactScript_Interval,3,40,-1,84300000,-1,-1,-1,-1,-1,-1
10060,ÎäÔòÌì-ÉúÃü¹â»·,,,0,80086,0,10059,2,10059,36000,SkillImpactScript_Interval,3,40,-1,84301000,-1,-1,-1,-1,-1,-1
10061,ÎäÔòÌì-ÉúÃü¹â»·,,,0,80086,0,10059,3,10059,36000,SkillImpactScript_Interval,3,40,-1,84302000,-1,-1,-1,-1,-1,-1
