"Id
===
Id
===
int-c","目标方案名称
===
Name
===
string-c","目标方案描述
===
Desc
===
string-c","目标计算的中心点
===
PointName
===
string-c","中心点X轴偏移量
===
StartPointX
===
float-c","中心点Y轴偏移量
===
StartPointY
===
float-c","中心点Z轴偏移量
===
StartPointZ
===
float-c","目标阵营
===
TargetClass
===
int-c","是否选择死亡单位
===
IsSelectDead
===
bool-c","目标选择脚本名
===
TargetScript
===
string-c","脚本参数0
===
ParamValues0
===
string-c","脚本参数1
===
ParamValues1
===
string-c","脚本参数2
===
ParamValues2
===
string-c","脚本参数3
===
ParamValues3
===
string-c","脚本参数4
===
ParamValues4
===
string-c","脚本参数5
===
ParamValues5
===
string-c"
#圆形判定,,,,,,,,,,,,,,,
1,圆形,-1,self,0,0,0,1,2,SkillTargetScript_CollideCircle,1,-1,-1,-1,-1,-1
2,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,1.5,-1,-1,-1,-1,-1
3,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,2,-1,-1,-1,-1,-1
4,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,2.5,-1,-1,-1,-1,-1
5,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,3,-1,-1,-1,-1,-1
6,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,3.5,-1,-1,-1,-1,-1
7,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,4,-1,-1,-1,-1,-1
8,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,4.5,-1,-1,-1,-1,-1
9,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,5,-1,-1,-1,-1,-1
10,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,5.5,-1,-1,-1,-1,-1
11,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,6,-1,-1,-1,-1,-1
12,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,6.5,-1,-1,-1,-1,-1
13,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,7,-1,-1,-1,-1,-1
14,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,7.5,-1,-1,-1,-1,-1
15,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,8,-1,-1,-1,-1,-1
16,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,8.5,-1,-1,-1,-1,-1
17,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,9,-1,-1,-1,-1,-1
18,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,9.5,-1,-1,-1,-1,-1
19,圆形,-1,self,0,0,0,1,1,SkillTargetScript_CollideCircle,10,-1,-1,-1,-1,-1
20,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,11,-1,-1,-1,-1,-1
21,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,1,-1,-1,-1,-1,-1
22,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,1.5,-1,-1,-1,-1,-1
23,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,2,-1,-1,-1,-1,-1
24,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,2.5,-1,-1,-1,-1,-1
25,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,3,-1,-1,-1,-1,-1
26,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,3.5,-1,-1,-1,-1,-1
27,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,4,-1,-1,-1,-1,-1
28,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,4.5,-1,-1,-1,-1,-1
29,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,5,-1,-1,-1,-1,-1
30,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,5.5,-1,-1,-1,-1,-1
31,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,6,-1,-1,-1,-1,-1
32,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,6.5,-1,-1,-1,-1,-1
33,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,7,-1,-1,-1,-1,-1
34,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,7.5,-1,-1,-1,-1,-1
35,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,8,-1,-1,-1,-1,-1
36,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,8.5,-1,-1,-1,-1,-1
37,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,9,-1,-1,-1,-1,-1
38,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,9.5,-1,-1,-1,-1,-1
39,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,10,-1,-1,-1,-1,-1
40,圆形,-1,self,0,0,0,2,1,SkillTargetScript_CollideCircle,11,-1,-1,-1,-1,-1
#圆柱扇形判定,,,,,,,,,,,,,,,
1001,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,5,-1,-1,-1
1002,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,10,-1,-1,-1
1003,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,15,-1,-1,-1
1004,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,20,-1,-1,-1
1005,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,25,-1,-1,-1
1006,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,30,-1,-1,-1
1007,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,35,-1,-1,-1
1008,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,40,-1,-1,-1
1009,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,45,-1,-1,-1
1010,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,50,-1,-1,-1
1011,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,55,-1,-1,-1
1012,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,60,-1,-1,-1
1013,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,65,-1,-1,-1
1014,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,70,-1,-1,-1
1015,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,75,-1,-1,-1
1016,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,80,-1,-1,-1
1017,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,85,-1,-1,-1
1018,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,90,-1,-1,-1
1019,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,95,-1,-1,-1
1020,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,100,-1,-1,-1
1021,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,105,-1,-1,-1
1022,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,110,-1,-1,-1
1023,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,115,-1,-1,-1
1024,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1,20,120,-1,-1,-1
