"Id
===
Id
===
int-c","名称
===
Name
===
string-c","描述
===
Desc
===
string-c","资源名
===
Source
===
string-c"
#,,,
#场景音效,,,
3,SCENE_TAOYUANCUN,桃园村,taoyuancun
4,SCENE_FENGHUOYIZHAN,烽火驿站,fenghuoyizhan
5,SCENE_LUOSHENSHIYUAN,洛神石园,taoyuancun
6,SCENE_HUANGYECHALU,荒野岔路,taoyuancun
7,SCENE_HULAOGUAN,虎牢关,jingjichang
8,SCENE_HULAOCANYUAN,虎牢残垣,jingjichang
9,SCENE_TONGMENZHUDI,同门驻地,fenghuoyizhan
10,SCENE_ZHENRONGCHANGJING,阵容场景,fenghuoyizhan
11,SCENE_ATTACK,战斗场景,dangyangqiao
12,SCENE_DANGYANGQIAO,当阳桥,dangyangqiao
13,SCENE_LOGIN,登陆,login
14,,主界面,main
15,,关卡1,stage-1
16,,关卡2,stage-2
17,,关卡3,stage-3
18,,boss1,boss-1
19,,boss2,boss-2
20,,boss3,boss-3
21,,老关卡1,longdedian
#UI音效,,,
1001,UI_CLICK_BUTTON,点击按钮,click_button
1002,UI_QIANGHUA_CLICK,"点击强化,敲击",qianghua_click
1003,UI_OPEN_FORM,打开窗体,worldmap
1004,UI_ICON_DRAG_START,对图标的拖拽开始,star_stone_comp
1005,UI_ICON_DRAG_END,对图标的拖拽放下,star_stone_comp
#武将技能音效,,,
2001,神将男,,shenjiangnan
2002,羽圣男,,yushengnan
2003,鬼谋男,,guimounan
2004,神将女,,shenjiangnv
2005,羽圣女,,yushengnv
2006,鬼谋女,,guimounv
2007,潘凤,,panfeng
2008,蔡文姬,,caiwenji
2009,曹仁,,caoren
2010,周仓,,zhoucang
2011,小乔,,xiaoqiao
2012,周泰,,zhoutai
2013,夏侯渊,,xiahouyuan
2014,孙尚香,,sunshangxiang
2015,大乔,,daqiao
2016,许褚,,xuchu
2017,黄月英,,huangyueying
2018,祝融,,zhurong
2019,张飞,,zhangfei
2020,张宝,,zhangbao
2021,程远志,,chengyuanzhi
2022,波才,,bocai
2023,吕布,,lvbu
2024,关平,,guanping
2025,刘备,,liubei
#怪物技能音效,,,
4001,蛇,,she
4002,狗,,gou
4003,老虎,,laohu
4004,野猪,,yezhu
4005,法师女,,fashinv
4006,空手男,,kongshounan
4007,刀兵男,,daobingnan
4008,斧兵男,,fubingnan
4009,枪兵男,,qiangbingnan
4010,刺客女,,cikenv
4011,法师男,,fashinan
4012,弓手男,,gongshounan
4013,持棍男,,chigunnan
4014,投石男,,toushinan
4015,持枪骑兵男,,chiqiangqibingnan
4016,铁爪女,,tiezhuanv
4017,持刀骑兵男,,chidaoqibingnan
4018,弩车,,nuche
4019,盾兵男,,dunbingnan
4020,弩兵男,,nubingnan
#战斗音效,,,
#男主角,,,
10001,斧普攻1,,boy_Hw_attack_1
10002,斧普攻2,,boy_Hw_attack_2
10003,斧普通转圈起跳,,boy_Hw_attack_3
10004,斧普攻砸地,,boy_Hw_attack_5
10005,旋风斧转动,,boy_Hw_skill03_attack
10006,斧冲击起手,,boy_Hw_skill04_start
10007,斧冲击攻击,,boy_Hw_skill04_attack
10008,斧冲击命中,,boy_Hw_skill04_hit
10009,无双技攻击,,
10010,无双技起跳,,
10011,无双技结束,,boy_Hw_super_end
#女主角,,,
11001,剑普攻砍,,girl_S_attack_1
11002,剑普攻刺,,girl_S_attack_1
11003,剑普攻结束,,girl_S_attack_3
11004,剑斗气爆发起手,,girl_S_skill01_start
11005,剑斗气爆发插地,,girl_S_skill01_attack
11006,剑斗气爆发命中,,
11007,剑音速斩起手,,girl_S_skill03_attack_1
11008,剑音速斩穿刺,,
11009,剑空旋斩攻击,,girl_S_skill04_attack
11010,无双技起跳攻击,,girl_S_super_attack_1
11011,无双技下落攻击,,girl_S_super_attack_2
11012,无双技刺击蓄力,,girl_S_super_attack_3
11013,无双技刺击攻击,,girl_S_super_attack_4
#武将怪物音效,,,
#麒麟,,,
20001,麒麟攻击,,Mon_QiLin_Skill01
#申公豹,,,
20101,申公豹攻击,,Mon_ShenGongBao_Skill01
#杨戬,,,
20201,杨戬攻击,,Mon_YangJian_Skill01
20202,杨戬攻击命中1,,hit_yangjian_attack_1
20203,杨戬攻击命中2,,hit_yangjian_attack_2
#纣王,,,
20301,纣王攻击,,Mon_ZhouWang_Skill01
20302,纣王攻击命中,,hit_zhouwang_attack_1
#妲己,,,
20022,妲己技能第一段冲刺,,Mon_ZhouWang_Skill01
#通用,,,
50001,斧被击,,hit-1
50002,剑被击,,hit-2
50003,利器被击3,,hit-3
50004,利器被击4,,hit-11
50005,利器被击5,,hit-4
50006,利器被击6,,hit-5
50007,利器被击7,,hit-12
50051,拳被击,,hitp-1
50101,水被击,,hit_water
50102,火焰被击,,hit_fire
50010,墨被击,,hit_black
50011,闪电被击,,hit_light
50201,无双技起手,,super_start
50202,武将技起手,,zhaohuan_start
50203,技能起手,,skill_start
50301,移动（跑步),,walk
50302,闪避,,shanbi
50303,冲刺,,chongci
51001,出场,,chuchang
51002,战斗开始,,fight_start
51003,战斗胜利,,win
51004,战斗失败,,lose
