"Id
===
Id
===
int-cs","关键字符串
===
Key
===
string-c","文本
===
Value
===
string-c",
#,,,
1,SYS_GAME_NAME,无双五千年,
2,SYS_COMPANY_NAME,天道创想,
#加载场景处理,,,
100,SYS_LOADING_SCENE,正在加载场景… …,
101,SYS_ENTER_SCENE,"场景加载完毕,进入场景… …",
102,SYS_LOADING_TERRAIN,正在加载地形… …,
103,SYS_DOWNLOADING_BG_MUSIC,正在加载背景音乐… …,
104,SYS_LOAD_OTHER_OBJECTS,正在加载对象资源… …,
105,SYS_CHANGE_USER,"切换新用户后,老用户信息就会被清除,您是否继续?",
106,SYS_DIR_SERVER_UNAVALIABLE,"连接登陆服务器失败,是否重新连接?",
107,SYS_GAME_SERVER_UNAVALIABLE,"连接游戏服务器失败,是否重新连接?",
108,SYS_NETWORK_UNAVALIABLE,网络连接不流畅,
109,SYS_NETWORK_UNAVALIABLE_WAIT,"网络连接不流畅,是否继续等待?",
110,SYS_NETWORK_ERROR,"网络断开,请退出游戏重新启动.",
#通用图片字符串,,,
10000,COMMON_ICON_MONEY_01,icon_money_gold,
10001,COMMON_ICON_MONEY_02,icon_money_gold,
10002,COMMON_ICON_MONEY_03,icon_money_gold,
10010,COMMON_ICON_DIAMOND_01,icon_money_diamond,
10011,COMMON_ICON_DIAMOND_02,icon_money_diamond,
10012,COMMON_ICON_DIAMOND_03,icon_money_diamond,
10020,COMMON_ICON_EXP_01,icon_money_gold,
10030,COMMON_ICON_AP_01,icon_money_gold,
10040,COMMON_ICON_GONGXUN_01,icon_money_gold,
#通用的字符串,,,
50000,COMMON_STR_MONEY,铜钱,
50001,COMMON_STR_DIAMOND,钻石,
50002,COMMON_STR_EXP,经验,
50003,COMMON_STR_AP,体力,
50004,COMMON_STR_GONGXUN,功勋,
50100,COMMON_STR_MONEY_VALUE,[ff9900]{0}[-],
50101,COMMON_STR_DIAMOND_VALUE,[ff00ff]{0}[-],
50102,COMMON_STR_EXP_VALUE,[ffff00]{0}[-],
50103,COMMON_STR_AP_VALUE,[ff00ff]{0}[-],
50104,COMMON_STR_GONGXUN_VALUE,[ff00ff]{0}[-],
50105,COMMON_STR_NO_FUNCTION,暂无此功能,
50106,COMMON_STR_FRAGMENT_1,碎片,
50107,COMMON_STR_FRAGMENT_2,碎片：,
50108,COMMON_STR_LEVEL_1,等级,
50109,COMMON_STR_LEVEL_2,[a8caca]等级：[-][ffc60d]{0}[-],
50110,COMMON_STR_LEVEL_3,需求等级：,
50111,COMMON_STR_EXP_1,经验,
50112,COMMON_STR_EXP_2,经验：,
50113,COMMON_STR_COUNT_1,数量,
50114,COMMON_STR_COUNT_2,数量：,
50115,COMMON_STR_CLOSE,(未开启),
50116,COMMON_STR_ACTIVE,(已激活),
50117,COMMON_STR_EXCHANGEPET_NO_ENOUGH_NUMBER,碎片数量不足，请获取碎片,
50118,COMMON_STR_EXCHANGEPET_FAIL,抱歉，您无法获得该道具,
50119,COMMON_STR_EXCHANGEPET_SUCCESS,恭喜您又成功获得了一位强力英豪,
50120,COMMON_STR_EATEXP_NO_SELECT,当前经验药不足,
50121,COMMON_STR_EATEXP_NO_ENOUGH_NUMBER,经验药不足,
50122,COMMON_STR_EATEXP_OVER_PLAYER_LEVEL,不可超出主角等级,
50123,COMMON_STR_EATEXP_FAIL,升级经验失败,
50124,COMMON_STR_STARLV_UPGRADE_SUCCESS,提升星级成功,
50125,COMMON_STR_STARLV_UPGRADE_FAIL,提升星级失败,
50126,COMMON_STR_QUALITY_UPGRADE_SUCCESS,进阶成功,
50127,COMMON_STR_QUALITY_UPGRADE_FAIL,进阶失败,
50128,COMMON_STR_ACTIVE_BOOK_SUCCESS,激活法宝成功,
50129,COMMON_STR_ACTIVE_BOOK_FAIL,激活法宝失败,
50130,COMMON_STR_ACTIVE_BOOK_NO_ENOUGH,尚不能激活该法宝,
50131,COMMON_STR_ACTIVE_BOOK_NEED_OPEN_SKILL,需要激活所有法宝后，方可提升星级,
50132,COMMON_STR_PASS,未通关,
50133,COMMON_STR_NO_COUNT,数量不足,
50134,COMMON_STR_NO_DATA,暂无数据,
50135,COMMON_STR_EXIT_SCENE,"是否要退出关卡,点击是后不保存退出。",
50136,COMMON_STR_ADD,增加,
50137,COMMON_STR_EXP_OVERFLOW,当前武将等级经验已达最大上限,
50138,COMMON_STR_BEFORE_DAY,{0}天之前,
50139,COMMON_STR_BEFORE_HOUR,{0}小时之前,
50140,COMMON_STR_BEFORE_MINTUES,{0}分钟之前,
50141,COMMON_STR_YUAN,{0}元,
50142,COMMON_STR_LV,{0}级,
50143,COMMON_STR_NO_DIAMOND,您的钻石不足，是否进行购买？,
50144,COMMON_STR_NO_ACTION_POINT,您的体力不足，是否进行购买？,
50145,COMMON_STR_NO_MONEY,您的金币不足，是否进行购买？,
50146,COMMON_STR_NO_EXP,"您的经验不足,无法进行操作.",
50147,COMMON_STR_MONEY_AMPLE,[a8caca]{0}[-],
50148,COMMON_STR_MONEY_LACK,[ff5c5c]{0}[-],
#通用错误字符串,,,
60000,ERR_OK,执行成功,
60001,ERR_WRONG_PWD,密码错误,
60002,ERR_USR_NOT_EXIST,用户不存在,
60003,ERR_USR_EXIST,用户已经存在,
60004,ERR_PWD_INVALID,修改密码时，密码无效,
60005,ERR_NOT_LOGIN,用户未登陆,
60006,ERR_CHAR_EXIST,这个用户已经创建过角色,
60007,ERR_CHAR_NOT_EXIST,这个用户还没有创建过角色,
60008,ERR_NAME_IN_USE,角色名已存在,
60009,ERR_NEED_ACTIVE,需要激活,
60010,ERR_ACTIVATION_CODE_ERROR,激活码错误,
60011,ERR_FIGHT_POS_ERROR,站位信息错误,
60012,ERR_FIGHT_FRIEND_ERROR,好友信息错误,
60013,ERR_FIREND_DO_NOT_EXIST,好友不存在,
60014,ERR_ARGUMNET_ERROR,函数参数错误,
60015,ERR_BAD_BATTLE_ID,战斗Id非法,
60016,ERR_DUNGEON_DO_NOT_EXIST,副本不存在,
60017,ERR_ITEM_CAN_NOT_DELETE,物品不能被销毁,
60018,ERR_ITEM_DO_NOT_EXIST,指定物品不存在,
60019,ERR_ITEM_NOT_ENOUGH,物品不足,
60020,ERR_ITEM_CAN_NOT_UPGRADE,物品不能升级,
60021,ERR_NOT_CURRENT_WARED_SUIT,该物品不是当前装备,
60022,ERR_NOT_ENOUGH_MONEY,不够钱,
60023,ERR_NOT_ENOUGH_DIAMOND,不够宝石,
60024,ERR_NOT_ENOUGH_HEART,不够友好值,
60025,ERR_NOT_ENOUGH_ACTION_POINTS,体力不足,
60026,ERR_SKILL_CAN_NOT_UPGRADE,技能不能升级,
60027,ERR_PET_NOT_EXIST,宠物不存在,
60028,ERR_PET_CAN_NOT_EVOLVE,宠物不能进化,
60029,ERR_PET_EATEN_NOT_RIGHT,宠物不能被吞噬,
60030,ERR_PET_MAX_COUNT_EXCEED,宠物已达上限,
60031,ERR_PET_INDEX_RESTRICTED,宠物孔受到限制,
60032,ERR_FRIEND_EXIST,好友已经存在,
60033,ERR_FRIEND_NUMBER_EXCEED,好友列表已经满了,
60034,ERR_FRIEND_CAN_NOT_ADD_SELF,不能加自己为好友,
60035,ERR_BID_SOMEONE_HIGHER,有人出价更高,
60036,ERR_INVALID_MESSAGE,无效消息,
60037,ERR_BATTLE_ID_NOT_EXIST,战斗Id不存在,
60038,ERR_STAGE_ID_NOT_EXIST,关卡Id不存在,
60039,ERR_STAGE_COMPLETED,关卡已经完成,
